Timestamp,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""",How often do you go to Clifton beach?,How do you get to Clifton Beach most of the time?,What are your top motivations for going to Clifton Beach? You can select up to 3,Where do you access the beach from most of the time?,Which of the two statements do you agree with more?,Which one of the following statements apply to you?,What are your top priorities for Clifton Beach in the next year? You can select up to 3.,How do you feel regarding the caretaking and evolution of Clifton beach?,What would make Clifton Beach your favourite beach to go to? Please use this space for any feedback not covered by the survey,Is it important for Clifton Beach and the coast of Karachi to have a comprehensive plan across various ownership boundaries to guide its growth?,"In the last 12 months, have you done any of the following in Karachi? Please select all that apply",Do you trust Karachi's various administrative bodies and caretakers with your well-being?,Have you given feedback or participated in the design process of any public project in Karachi?,What is your most favourite place in Karachi?,"If you had unlimited funds, how would you change Clifton Beach?",Do you like going to the beach? Why if you do? Why not if you do not?,Do you feel safe while at the beach?,"If yes, then at what time of the day?","If not, why?",On what days do you prefer going to the beach?,At what time are you most likely to visit the beach?,How long do you spend at the beach?,How do you rate the following facilities? [Seating],How do you rate the following facilities? [Cleanliness],How do you rate the following facilities? [Shading Devices],How do you rate the following facilities? [Public Washrooms],How do you rate the following facilities? [Recreational Amenities],How do you rate the following facilities? [Lighting],How do you rate the following facilities? [Pathways/Walking Infrastructure],How do you rate the following facilities? [First Aid],What kind of company do you prefer when at the beach?,Have you ever made any new friends at the beach?
2021/03/09 12:45:45 pm GMT-4,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,Not often - I prefer other beaches,Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi);Relief (from climate, from stresses, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company at any time during the day,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",Negatively - I feel a sense of frustration and/or loss,"Access via public transport. I live very far and cannot access the beach as often as I would like to. Plus, safety. I always have to find 1 person willing to go with me, don't feel safe alone. ",Important,"Visit monuments, historic sites;Visit a theatre (play, movies);Participate in a protest;Visit an outdoors bazaar;Visit an indoors bazaar/mall;Visit a natural area (hills, lakes, mangroves, etc)",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/09 2:02:09 am GMT-4,25 - 44 years,Female,"125,001 - 150,000 rupees",North Nazimabad Town,Frequently (multiple times a month),Private vehicle,"Leisure (walking, being with loved ones, etc);Celebrating (personal milestones, special occasions, etc)",McDonald's/A K Khan Park,"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company and only before sunset,"Amenities (like: washrooms, washing areas, lockers, etc);Natural areas (like: forests, gardens, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",Positively - There are several welcome developmental changes,"Lights at night, some benches and maybe women officers because the men police mostly don't make us feel safe. Also some little shops to buy snacks or seashells etc. ",Indifferent,"Visit a park for a walks or leisure;Visit a theatre (play, movies);Visit a fair (books, food, crafts);Visit a musical/dancing event (not including weddings);Visit a natural area (hills, lakes, mangroves, etc)",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/09 2:26:36 am GMT-4,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Frequently (multiple times a month),Bicycle,"Leisure (walking, being with loved ones, etc);Activity (exercising, sports, running, etc);Relief (from climate, from stresses, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I feel safe visiting the beach by myself but only before sunset,"Amenities (like: washrooms, washing areas, lockers, etc);Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",Negatively - I feel a sense of frustration and/or loss,"If Sea View Road was pedestrianized, Clifton Beach would easily become my favourite place in Karachi. During the lockdown when cars weren't allowed on Sea View Road it was both a good and sad time because I could see how many people wanted to use public spaces and regularly exercised, walked, skated, and cycled at Sea View road, at the same time it was heartbreaking to see how the policed did not allow people from other areas (especially working class men and women) to use the beach. ",Important,"Visit museums, galleries;Visit cultural events on the street or at public squares;Visit a park for a walks or leisure;Practice some sport of physical activity on a regular basis;Participate in a protest;Visit an outdoors bazaar;Visit an indoors bazaar/mall",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/09 2:43:29 am GMT-4,25 - 44 years,Female,"175,000 - 200,000 rupees",Ferozabad,Often (multiple times in a year),Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi);Relief (from climate, from stresses, etc)",Dolmen Mall,"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company at any time during the day,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",Positively - There are several welcome developmental changes,NULL,Important,Visit a park for a walks or leisure;Practice some sport of physical activity on a regular basis;Visit an outdoors bazaar;Visit an indoors bazaar/mall,No - I do not trust them,Yes - I would like more opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/09 2:51:41 am GMT-4,15 - 24 years,Prefer not to answer,"125,001 - 150,000 rupees",Clifton Cantonment,Often (multiple times in a year),Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi);Relief (from climate, from stresses, etc)",Seawall (between Captain Farhan Ali Shaheed Park and Emaar Crescent),"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company and only before sunset,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",Negatively - I feel a sense of frustration and/or loss,NULL,Important,"Visit monuments, historic sites;Visit a park for a walks or leisure;Visit a natural area (hills, lakes, mangroves, etc)",No - I do not trust them,Yes - I would like more opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/09 3:01:58 am GMT-4,25 - 44 years,Female,"50,001 - 75,000 rupees",Clifton Cantonment,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi);Relief (from climate, from stresses, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company at any time during the day,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",Negatively - I feel a sense of frustration and/or loss,NULL,Important,"Visit conferences, seminars (outside of institutional requirements);Visit a fair (books, food, crafts);Participate in a protest;Visit an outdoors bazaar;Visit an indoors bazaar/mall",No - I do not trust them,Yes - I would like more opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/09 3:02:01 am GMT-4,45 years and above,Male,"100,001 - 125,000 rupees",Malir Cantonment,Frequently (multiple times a month),For-hire vehicle,"Commerce (for work, for shopping, for restaurants, etc)",Khyaban-e-Saadi,"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company and only before sunset,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Commerce (like: restaurants, bazaars, malls, etc)",Positively - There are several welcome developmental changes,"Freedom, safe for couples, safe for children, All types of drinks.",Important,"Visit cultural events on the street or at public squares;Visit a fair (books, food, crafts);Participate in a protest",Indifferent,Yes - I would like more opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/09 3:04:34 pm GMT-4,25 - 44 years,Female,"50,001 - 75,000 rupees",Faisal Cantonment,Not often - I prefer other beaches,Private vehicle,,Dolmen Mall,Some people may be restricted or charged to visit some places at Clifton beach,I only visit the beach with company and only before sunset,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Natural areas (like: forests, gardens, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",Negatively - I feel a sense of frustration and/or loss,"Never go there to enjoy or anything. It is always when I am passing through DHA I take the sea view road just to drive past it. Last I went to that beach was around 6 years back when our class decided to stop there for a few minutes after a batch breakfast nearby. 1. Cleaning
2. A Female friendly environment
3. Plantation along the beach to give some natural shade
4. Safe parking space ",Important,"Attend sporting events as a spectator;Visit a fair (books, food, crafts);Visit an outdoors bazaar;Visit an indoors bazaar/mall",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/09 3:10:27 am GMT-4,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Often (multiple times in a year),Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi);Relief (from climate, from stresses, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company and only before sunset,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc);Natural areas (like: forests, gardens, etc)",Positively - There are several welcome developmental changes,Cleanliness and safety ,Important,"Visit conferences, seminars (outside of institutional requirements);Visit a park for a walks or leisure;Practice some sport of physical activity on a regular basis;Visit a musical/dancing event (not including weddings);Participate in a protest;Visit an outdoors bazaar;Visit an indoors bazaar/mall;Visit a natural area (hills, lakes, mangroves, etc)",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/09 3:23:02 am GMT-4,15 - 24 years,Male,"50,001 - 75,000 rupees",Jamshed Quarters,Often (multiple times in a year),Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi);Relief (from climate, from stresses, etc)",McDonald's/A K Khan Park,"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company at any time during the day,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",Positively - There are several welcome developmental changes,"Since Clifton beach is theMost accessible beach for urban Karachi. It should be developed according to coastal standards around the world. The walkablity should be improved. The beach should be made accessible for differently abled person.

The entry of parks and recreational spots should be free of cost but secured by guards. Corporations and Housing schemes should stop blocking the access to the beach. Already, they had encroaches so much of the space. That space could have been utilized to make umbrella shades and shady seats like in western and middle eastern beaches.

Lastly, the beach of McDonald's/AK khan park is so smelly because of stagnant water. Special arrangements should be made to clean that mess because it creates a bad impression on tourist or visitors dining at multinational brand McDonalds. ",Important,"Visit a park for a walks or leisure;Visit a religious building (mosque, church, temple, etc)",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/09 4:02:17 am GMT-4,15 - 24 years,Female,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),For-hire vehicle,"Most accessible (public beach closest to urban Karachi);Celebrating (personal milestones, special occasions, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company and only before sunset,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc);Natural areas (like: forests, gardens, etc)",Negatively - I feel a sense of frustration and/or loss,"if it didn't smell like sewage water, it's the only accessible beach I canVisit and even then the experience is made bad because of the pollution there. ",Not Important,"Visit museums, galleries;Visit monuments, historic sites;Visit a park for a walks or leisure;Visit a religious building (mosque, church, temple, etc);Visit an outdoors bazaar;Visit an indoors bazaar/mall",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/09 4:44:39 am GMT-4,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Often (multiple times in a year),Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi)",Khyaban-e-Saadi,Some people may be restricted or charged to visit some places at Clifton beach,I feel safe visiting the beach by myself at any time during the day,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Natural areas (like: forests, gardens, etc)",Positively - There are several welcome developmental changes,Clean water and safe water sports,Important,"Visit a park for a walks or leisure;Practice some sport of physical activity on a regular basis;Visit a religious building (mosque, church, temple, etc);Visit an outdoors bazaar;Visit an indoors bazaar/mall",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/09 5:00:09 am GMT-4,15 - 24 years,Male,"200,001 and above",Faisal Cantonment,Not often - I prefer other beaches,Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi)",Dolmen Mall,"Clifton beach must be freely accessible, without charge and entry limitations",I feel safe visiting the beach by myself but only before sunset,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc);Natural areas (like: forests, gardens, etc)",Negatively - I feel a sense of frustration and/or loss,"Stop encroaching the beach. It is the city's heritage. We do not want huge towers built upon the oldest beach in Urban Karachi. Karachi ain't no Dubai. Make the beach as natural as possible while at the same time offering services such as clean toilets. Also, STOP THE SEWERAGE WATER FROM SURROUNDING AREAS GETTING INTO THE SEA WITHOUT TREATMENT!!!!",Important,"Visit a park for a walks or leisure;Visit a religious building (mosque, church, temple, etc);Visit an outdoors bazaar;Visit an indoors bazaar/mall",No - I do not trust them,Yes - I would like more opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/09 5:42:55 am GMT-4,15 - 24 years,Male,"100,001 - 125,000 rupees",Airport,Often (multiple times in a year),Private vehicle,"Leisure (walking, being with loved ones, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I feel safe visiting the beach by myself at any time during the day,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",Negatively - I feel a sense of frustration and/or loss,The survey pretty much covered everything ,Important,"Visit museums, galleries;Visit conferences, seminars (outside of institutional requirements);Visit a park for a walks or leisure;Visit a fair (books, food, crafts);Visit a religious building (mosque, church, temple, etc);Visit an outdoors bazaar;Visit an indoors bazaar/mall",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/09 5:49:05 am GMT-4,15 - 24 years,Female,"200,001 and above",North Nazimabad Town,Frequently (multiple times a month),For-hire vehicle,"Leisure (walking, being with loved ones, etc);Celebrating (personal milestones, special occasions, etc);Commerce (for work, for shopping, for restaurants, etc)",Dolmen Mall,"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company at any time during the day,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",Positively - There are several welcome developmental changes,Owning a car and not relying on family for going there,Important,"Visit museums, galleries;Visit a park for a walks or leisure;Visit an outdoors bazaar;Visit an indoors bazaar/mall",Indifferent,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/03/09 5:54:23 pm GMT-4,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Frequently (multiple times a month),Private vehicle,"Leisure (walking, being with loved ones, etc);Relief (from climate, from stresses, etc);Commerce (for work, for shopping, for restaurants, etc)",Dolmen Mall,"Clifton beach must be freely accessible, without charge and entry limitations",I feel safe visiting the beach by myself at any time during the day,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Commerce (like: restaurants, bazaars, malls, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",Negatively - I feel a sense of frustration and/or loss,cleanliness and safety,Important,"Visit a park for a walks or leisure;Attend sporting events as a spectator;Practice some sport of physical activity on a regular basis;Visit a theatre (play, movies);Visit a religious building (mosque, church, temple, etc);Visit a musical/dancing event (not including weddings);Visit an indoors bazaar/mall",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
