,index,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""",What are your top priorities for Clifton Beach in the next year? You can select up to 3.,op: What would make Clifton Beach your favourite beach to go to? Please use this space for any feedback not covered by the survey,Is it important for Clifton Beach and the coast of Karachi to have a comprehensive plan across various ownership boundaries to guide its growth?
20,6dup,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal," Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
21,7,45 years and above,Male,"150,001 - 175,000 rupees",Gulzar-e-Hijri,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
22,7dup,45 years and above,Male,"150,001 - 175,000 rupees",Gulzar-e-Hijri," Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
23,7dup,45 years and above,Male,"150,001 - 175,000 rupees",Gulzar-e-Hijri," Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
24,8,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,"Amenities (like: washrooms, washing areas, lockers, etc)",Most of the areas of the beach should be for families and some days and timings should be set for physical activities. Centers should be made dedicated to Marine Life conservation and knowledge. A public body should be made where the common citizen can be a member with volunteers with jobs. Vegetation should be improved and increased. Especially trees should be planted. ,Important
25,8dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal," Natural areas (like: forests, gardens, etc)",,
26,8dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal," Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
27,9,45 years and above,Female,Prefer not to answer,Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)",There should be a punishment for littering ,Important
28,9dup,45 years and above,Female,Prefer not to answer,Clifton Cantonment," Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
29,9dup,45 years and above,Female,Prefer not to answer,Clifton Cantonment," Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
30,10,25 - 44 years,Male,Prefer not to answer,Ferozabad,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Indifferent
31,10dup,25 - 44 years,Male,Prefer not to answer,Ferozabad," Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
32,10dup,25 - 44 years,Male,Prefer not to answer,Ferozabad," Seating (like: beach umbrellas for shade, picnic benches, etc)",,
33,11,25 - 44 years,Male,Prefer not to answer,North Nazimabad,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
34,11dup,25 - 44 years,Male,Prefer not to answer,North Nazimabad," Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
35,11dup,25 - 44 years,Male,Prefer not to answer,North Nazimabad," Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
36,12,45 years and above,Male,"25,001 - 50,000 rupees",Outside Karachi,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
37,12dup,45 years and above,Male,"25,001 - 50,000 rupees",Outside Karachi," Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
38,12dup,45 years and above,Male,"25,001 - 50,000 rupees",Outside Karachi," Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
39,13,15 - 24 years,Male,"125,001 - 150,000 rupees",North Nazimabad,"Amenities (like: washrooms, washing areas, lockers, etc)",,Indifferent
40,13dup,15 - 24 years,Male,"125,001 - 150,000 rupees",North Nazimabad," Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
41,13dup,15 - 24 years,Male,"125,001 - 150,000 rupees",North Nazimabad," Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
42,14,15 - 24 years,Male,Prefer not to answer,Civil Lines,,,
43,15,15 - 24 years,Female,"50,001 - 75,000 rupees",Airport,"Amenities (like: washrooms, washing areas, lockers, etc)",,
44,15dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Airport,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
45,15dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Airport,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
46,16,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
47,16dup,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
48,16dup,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
49,17,15 - 24 years,Male,Prefer not to answer,Ferozabad,,,
50,18,25 - 44 years,Male,"50,001 - 75,000 rupees",Clifton Cantonment,,,
51,19,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)",,
52,19dup,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
53,19dup,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
54,20,15 - 24 years,Male,"25,001 - 50,000 rupees",Clifton Cantonment,,,
55,21,25 - 44 years,Male,"Up to 25,000 rupees",Clifton Cantonment,,,
56,22,15 - 24 years,Female,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
57,22dup,15 - 24 years,Female,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
58,22dup,15 - 24 years,Female,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
59,23,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,,,
60,24,45 years and above,Male,"150,001 - 175,000 rupees",Nazimabad,"Amenities (like: washrooms, washing areas, lockers, etc)",,
61,24dup,45 years and above,Male,"150,001 - 175,000 rupees",Nazimabad,"Natural areas (like: forests, gardens, etc)",,
62,24dup,45 years and above,Male,"150,001 - 175,000 rupees",Nazimabad,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
63,25,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
64,25dup,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
65,25dup,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
66,26,25 - 44 years,Male,Prefer not to answer,Gulshan-e-Iqbal,"Amenities (like: washrooms, washing areas, lockers, etc)",,
67,26dup,25 - 44 years,Male,Prefer not to answer,Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
68,26dup,25 - 44 years,Male,Prefer not to answer,Gulshan-e-Iqbal,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
69,27,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
70,28,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Amenities (like: washrooms, washing areas, lockers, etc)",,
71,28dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
72,28dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
73,29,15 - 24 years,Female,Prefer not to answer,Jamshed Quarters,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
74,29dup,15 - 24 years,Female,Prefer not to answer,Jamshed Quarters,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
75,29dup,15 - 24 years,Female,Prefer not to answer,Jamshed Quarters,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
76,30,25 - 44 years,Male,"50,001 - 75,000 rupees",Jamshed Quarters,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
77,30dup,25 - 44 years,Male,"50,001 - 75,000 rupees",Jamshed Quarters,"Natural areas (like: forests, gardens, etc)",,
78,30dup,25 - 44 years,Male,"50,001 - 75,000 rupees",Jamshed Quarters,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
79,31,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
80,31dup,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,"Natural areas (like: forests, gardens, etc)",,
81,31dup,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
82,31dup,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
83,32,15 - 24 years,Male,Prefer not to answer,Baldia,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
84,32dup,15 - 24 years,Male,Prefer not to answer,Baldia,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
85,32dup,15 - 24 years,Male,Prefer not to answer,Baldia,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
86,33,15 - 24 years,Male,"Up to 25,000 rupees",Baldia,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
87,33dup,15 - 24 years,Male,"Up to 25,000 rupees",Baldia,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
88,33dup,15 - 24 years,Male,"Up to 25,000 rupees",Baldia,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
89,34,25 - 44 years,Female,Prefer not to answer,Nazimabad,"Amenities (like: washrooms, washing areas, lockers, etc)",,
90,34dup,25 - 44 years,Female,Prefer not to answer,Nazimabad,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
91,34dup,25 - 44 years,Female,Prefer not to answer,Nazimabad,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
92,35,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,
93,36,25 - 44 years,Male,Prefer not to answer,Malir Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)",,
94,36dup,25 - 44 years,Male,Prefer not to answer,Malir Cantonment,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
95,36dup,25 - 44 years,Male,Prefer not to answer,Malir Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
96,37,15 - 24 years,Female,"125,001 - 150,000 rupees",Nazimabad,,,
97,38,15 - 24 years,Female,"25,001 - 50,000 rupees",Orangi,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
98,38dup,15 - 24 years,Female,"25,001 - 50,000 rupees",Orangi,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
99,38dup,15 - 24 years,Female,"25,001 - 50,000 rupees",Orangi,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
100,39,15 - 24 years,Male,"25,001 - 50,000 rupees",Orangi,"Amenities (like: washrooms, washing areas, lockers, etc)",,
101,39dup,15 - 24 years,Male,"25,001 - 50,000 rupees",Orangi,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
102,39dup,15 - 24 years,Male,"25,001 - 50,000 rupees",Orangi,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
103,40,45 years and above,Male,"25,001 - 50,000 rupees",Garden,"Amenities (like: washrooms, washing areas, lockers, etc)",,
104,40dup,45 years and above,Male,"25,001 - 50,000 rupees",Garden,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
105,40dup,45 years and above,Male,"25,001 - 50,000 rupees",Garden,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
106,41,15 - 24 years,Male,Prefer not to answer,Saddar,"Amenities (like: washrooms, washing areas, lockers, etc)",,
107,41dup,15 - 24 years,Male,Prefer not to answer,Saddar,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
108,41dup,15 - 24 years,Male,Prefer not to answer,Saddar,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
109,42,45 years and above,Transgender,"Up to 25,000 rupees",Civil Lines,"Amenities (like: washrooms, washing areas, lockers, etc)",,
110,42dup,45 years and above,Transgender,"Up to 25,000 rupees",Civil Lines,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
111,42dup,45 years and above,Transgender,"Up to 25,000 rupees",Civil Lines,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
112,43,25 - 44 years,Female,Prefer not to answer,Gulshan-e-Iqbal,,,
113,44,15 - 24 years,Male,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
114,45,Below 15 years,Female,Prefer not to answer,Civil Lines,"Amenities (like: washrooms, washing areas, lockers, etc)",,
115,45dup,Below 15 years,Female,Prefer not to answer,Civil Lines,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
116,45dup,Below 15 years,Female,Prefer not to answer,Civil Lines,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
117,46,15 - 24 years,Female,Prefer not to answer,Harbour,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
118,46dup,15 - 24 years,Female,Prefer not to answer,Harbour,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
119,47,15 - 24 years,Male,"Up to 25,000 rupees",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
120,47dup,15 - 24 years,Male,"Up to 25,000 rupees",Gulshan-e-Iqbal,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
121,47dup,15 - 24 years,Male,"Up to 25,000 rupees",Gulshan-e-Iqbal,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
122,48,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
123,48dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
124,48dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
125,49,15 - 24 years,Female,Prefer not to answer,New Karachi Town,"Amenities (like: washrooms, washing areas, lockers, etc)",,
126,49dup,15 - 24 years,Female,Prefer not to answer,New Karachi Town,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
127,49dup,15 - 24 years,Female,Prefer not to answer,New Karachi Town,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
128,50,25 - 44 years,Female,Prefer not to answer,Garden,,,
129,51,15 - 24 years,Male,"Up to 25,000 rupees",New Karachi Town,,,
130,52,45 years and above,Male,Prefer not to answer,Liaquatabad,"Amenities (like: washrooms, washing areas, lockers, etc)",,
131,52dup,45 years and above,Male,Prefer not to answer,Liaquatabad,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
132,52dup,45 years and above,Male,Prefer not to answer,Liaquatabad,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
133,53,45 years and above,Male,Prefer not to answer,Gulshan-e-Iqbal,"Amenities (like: washrooms, washing areas, lockers, etc)",,
134,53dup,45 years and above,Male,Prefer not to answer,Gulshan-e-Iqbal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
135,53dup,45 years and above,Male,Prefer not to answer,Gulshan-e-Iqbal,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
136,54,15 - 24 years,Male,Prefer not to answer,Malir Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
137,54dup,15 - 24 years,Male,Prefer not to answer,Malir Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
138,55,45 years and above,Female,Prefer not to answer,New Karachi Town,"Amenities (like: washrooms, washing areas, lockers, etc)",,
139,55dup,45 years and above,Female,Prefer not to answer,New Karachi Town,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
140,56,15 - 24 years,Female,Prefer not to answer,Gulberg,"Amenities (like: washrooms, washing areas, lockers, etc)",,
141,56dup,15 - 24 years,Female,Prefer not to answer,Gulberg,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
142,56dup,15 - 24 years,Female,Prefer not to answer,Gulberg,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
143,57,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,
144,58,15 - 24 years,Female,"50,001 - 75,000 rupees",Korangi,"Amenities (like: washrooms, washing areas, lockers, etc)",,
145,58dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Korangi,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
146,58dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Korangi,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
147,59,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,
148,60,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)",,
149,60dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
150,60dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
151,61,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,
152,62,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)",,
153,62dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
154,62dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
155,63,15 - 24 years,Female,Prefer not to answer,Malir Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)",,
156,63dup,15 - 24 years,Female,Prefer not to answer,Malir Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
157,63dup,15 - 24 years,Female,Prefer not to answer,Malir Cantonment,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
158,64,15 - 24 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,,,
159,65,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,,,
160,66,15 - 24 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,,,
161,67,15 - 24 years,Female,Prefer not to answer,Nazimabad,,,
162,68,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,,,
163,69,15 - 24 years,Female,"125,001 - 150,000 rupees",Nazimabad,,,
164,70,15 - 24 years,Female,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
165,70dup,15 - 24 years,Female,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
166,70dup,15 - 24 years,Female,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
167,71,15 - 24 years,Female,"50,001 - 75,000 rupees",Nazimabad,"Amenities (like: washrooms, washing areas, lockers, etc)",,
168,71dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Nazimabad,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
169,71dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Nazimabad,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
170,72,15 - 24 years,Female,"Up to 25,000 rupees",Gulshan-e-Iqbal,"Amenities (like: washrooms, washing areas, lockers, etc)",,
171,72dup,15 - 24 years,Female,"Up to 25,000 rupees",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
172,72dup,15 - 24 years,Female,"Up to 25,000 rupees",Gulshan-e-Iqbal,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
173,73,15 - 24 years,Female,"Up to 25,000 rupees",Gulzar-e-Hijri,,,
174,74,15 - 24 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Amenities (like: washrooms, washing areas, lockers, etc)",,
175,74dup,15 - 24 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
176,75,15 - 24 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
177,75dup,15 - 24 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,"Natural areas (like: forests, gardens, etc)",,
178,75dup,15 - 24 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
179,76,15 - 24 years,Female,"200,001 and above",Malir Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
180,76dup,15 - 24 years,Female,"200,001 and above",Malir Cantonment,"Natural areas (like: forests, gardens, etc)",,
181,76dup,15 - 24 years,Female,"200,001 and above",Malir Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
182,77,15 - 24 years,Female,Prefer not to answer,Liaquatabad,,,
183,78,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,"Amenities (like: washrooms, washing areas, lockers, etc)",,
184,78dup,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
185,78dup,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
186,79,15 - 24 years,Female,"25,001 - 50,000 rupees",Gulberg,,,
187,80,15 - 24 years,Female,"125,001 - 150,000 rupees",Ferozabad,,,
188,81,15 - 24 years,Male,"50,001 - 75,000 rupees",Nazimabad,,,
189,82,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
190,82dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
191,82dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
192,83,15 - 24 years,Female,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,,,
193,84,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,"Amenities (like: washrooms, washing areas, lockers, etc)",,
194,84dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
195,84dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
196,85,15 - 24 years,Female,"200,001 and above",Nazimabad,,,
197,86,15 - 24 years,Female,Prefer not to answer,Shah Faisal,"Amenities (like: washrooms, washing areas, lockers, etc)",,
198,86dup,15 - 24 years,Female,Prefer not to answer,Shah Faisal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
199,86dup,15 - 24 years,Female,Prefer not to answer,Shah Faisal,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
200,87,15 - 24 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,"Amenities (like: washrooms, washing areas, lockers, etc)",,
201,87dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
202,87dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
203,88,15 - 24 years,Female,"150,001 - 175,000 rupees",Saddar,,,
